cui,umls_concept,entity_norm
C0016512,Foot pain,foot pain
C0023223,Leg Ulcer,leg ulcer
C4086797,Refrain from Smoking,refrain from smoking
C0240903,Rheumatoid Vasculitis,rheumatoid vasculitis
C5235924,Vascular Invasion Negative,vascular invasion negative
C0596270,Cardiovascular Infections,cardiovascular infections
C0015468,Facial Pain,facial pain
C0030247,Palpation,palpation
C0012569,Diplopia,diplopia
C0018202,Granulomatous Angiitis,granulomatous angiitis
C0225991,Structure of great blood vessel (organ),structure of great blood vessel organ
C0015031,Ethnicity,ethnicity
remainder of the aorta (in one third of cases),remainder of the aorta (in one third of cases),remainder of the aorta in one third of cases
C0700134,obliterated,obliterated
C0036454,Scotoma,scotoma
C4489454,Visceral vessels,visceral vessels
C0019165,Hepatitis B Antigens,hepatitis b antigens
C0238598,Young Adult,young adult
C0027362,Human Age Group,human age group
C0501384,Motor nerve,motor nerve
C4061114,Acute illness,acute illness
C0743841,Disorder characterized by fever,disorder characterized by fever
C0235592,Cervical lymphadenopathy,cervical lymphadenopathy
C0026691,Mucocutaneous Lymph Node Syndrome,mucocutaneous lymph node syndrome
C0003333,"Antigens, Heterophile",antigens heterophile
C0260034,tumor proteins,tumor proteins
C0019079,Hemoptysis,hemoptysis
C0151190,Palpable purpura,palpable purpura
C3495801,Granulomatosis with polyangiitis,granulomatosis with polyangiitis
C0016169,pathologic fistula,pathologic fistula
C5436444,Respiratory involvement,respiratory involvement
C0277556,Recurrent disease,recurrent disease
C0205409,Isolated,isolated
C0017661,IGA Glomerulonephritis,iga glomerulonephritis
C0205847,Middle Aged,middle aged
C0149516,Chronic sinusitis,chronic sinusitis
C0235896,Pulmonary Infiltrate,pulmonary infiltrate
C1335386,Peripheral Blood Eosinophilia,peripheral blood eosinophilia
C0333497,Segmental glomerulosclerosis,segmental glomerulosclerosis
C0085129,Bronchial Hyperreactivity,bronchial hyperreactivity
C0162857,Structure of radial artery,structure of radial artery
C3494625,Heavy tobacco smoker,heavy tobacco smoker
C0151268,Visceral infarction,visceral infarction
C0004626,"Pneumonia, Bacterial",pneumonia bacterial
C5544423,Blood Flow Restriction Therapy,blood flow restriction therapy
C1304451,Ischemic gangrene,ischemic gangrene
C1282916,Secondary Raynaud's phenomenon,secondary raynauds phenomenon
C0232352,Vascular insufficiency,vascular insufficiency
C0852949,Arteriopathic disease,arteriopathic disease
C0002963,"Angina Pectoris, Variant",angina pectoris variant
C2063324,dilated ischemic cardiomyopathy,dilated ischemic cardiomyopathy
C1739395,Takotsubo Cardiomyopathy,takotsubo cardiomyopathy
C0226513,Structure of superficial vein,structure of superficial vein
C0265029,Portal vein obstruction,portal vein obstruction
C0019154,Hepatic Vein Thrombosis,hepatic vein thrombosis
C0019112,Hemorrhoids,hemorrhoids
C0040046,Thrombophlebitis,thrombophlebitis
C0851980,Peritoneal Infection,peritoneal infection
C4551518,Venous stasis,venous stasis
C0231287,Postoperative state,postoperative state
C0038833,Superior Vena Cava Syndrome,superior vena cava syndrome
C1334665,Mediastinal Lymphoma,mediastinal lymphoma
C1508661,Pulmonary vessels,pulmonary vessels
C0265072,Inferior vena cava syndrome,inferior vena cava syndrome
C0238261,Lymphedema praecox,lymphedema praecox
C1704423,Milroy Disease,milroy disease
C0543467,Operative Surgical Procedures,operative surgical procedures
C0024884,"Mastectomy, Radical",mastectomy radical
C0333241,Chronic edema,chronic edema
C0018923,Hemangiosarcoma,hemangiosarcoma
C0017653,Glomus Tumor,glomus tumor
C0085434,"Angiomatosis, Bacillary",angiomatosis bacillary
C0038505,Sturge-Weber Syndrome,sturgeweber syndrome
C0858684,Facial telangiectasia,facial telangiectasia
C0085666,Spider nevus,spider nevus
C0039445,Hereditary hemorrhagic telangiectasia,hereditary hemorrhagic telangiectasia
C0848027,internal lesion,internal lesion
C0085653,Pyogenic granuloma,pyogenic granuloma
C1411731,Tumors and Pregnancy,tumors and pregnancy
C2959369,Granuloma gravidarum,granuloma gravidarum
C0238814,Brain Hemangioma,brain hemangioma
C1140710,Cerebral Cavernous Hemangioma,cerebral cavernous hemangioma
C0665301,"KRIT1 protein, human",krit1 protein human
C1427709,CCM2 gene,ccm2 gene
C1418402,PDCD10 gene,pdcd10 gene
C0205828,Cavernous lymphangioma,cavernous lymphangioma
C0242631,Bartonella henselae,bartonella henselae
C0007361,Cat-Scratch Disease,catscratch disease
C0035791,Bartonella quintana,bartonella quintana
C0235480,Paroxysmal atrial fibrillation,paroxysmal atrial fibrillation
C0013987,Emotions,emotions
C0011620,Stasis dermatitis,stasis dermatitis
C1322279,Dilate procedure,dilate procedure
C0221226,Distended umbilical veins,distended umbilical veins
C0155773,Portal Vein Thrombosis,portal vein thrombosis
C0036130,Salpingitis,salpingitis
C0030785,Pelvic abscess,pelvic abscess
C0042459,Superior vena cava structure,superior vena cava structure
C0157705,Acute lymphadenitis,acute lymphadenitis
C0008732,Chylous Ascites,chylous ascites
C0008733,Chylothorax,chylothorax
C0242426,Chylopericardium,chylopericardium
C0333865,Cytologic atypia,cytologic atypia
C0265974,Birthmark,birthmark
C0002959,Angiectasis,angiectasis
C4476892,Dilatation of large choroidal vessels,dilatation of large choroidal vessels
C0228126,Leptomeninges,leptomeninges
C0018991,Hemiplegia,hemiplegia
C0034599,Radiology Specialty,radiology specialty
C0446469,Surface region of upper chest,surface region of upper chest
C0425683,Dilated capillaries,dilated capillaries
C4086026,Blood-Filled,bloodfilled
C0850826,Localized skin lesion,localized skin lesion
C0002992,Angiomatosis,angiomatosis
C0023759,Lip structure,lip structure
C1413357,CFLAR gene,cflar gene
C3893605,unencapsulated part of cell,unencapsulated part of cell
C2826293,Clinical Relevance,clinical relevance
C0406226,Traumatic skin ulcer,traumatic skin ulcer
C0007765,Cerebellum,cerebellum
C1882071,Network,network
up to 15 cm,up to 15 cm,up to 15 cm
C5394943,Has filling,has filling
C0005905,Physiologic Thermoregulation,physiologic thermoregulation
C0222001,Structure of nail of finger,structure of nail of finger
C0700080,Vascular proliferation,vascular proliferation
C0007450,Felis catus,felis catus
C1512656,Immunocompetent,immunocompetent
C0322630,Pediculus humanus humanus,pediculus humanus humanus
C0040830,Trench Fever,trench fever
C0028259,Nodule,nodule
C0241270,subcutaneous mass,subcutaneous mass
C1335070,Nuclear Atypia,nuclear atypia
C0240321,Mediterranean,mediterranean
C0815080,organ rejection,organ rejection
C0392768,Bluish red color,bluish red color
C0994894,Patch Dosage Form,patch dosage form
C0018915,Hemangioendothelioma,hemangioendothelioma
C0206732,Epithelioid hemangioendothelioma,epithelioid hemangioendothelioma
C0024224,lymphangiosarcoma,lymphangiosarcoma
C0345907,Angiosarcoma of liver,angiosarcoma of liver
C0205182,Atypical,atypical
C2936204,Endovascular Procedures,endovascular procedures
C0687568,Coronary artery stent (device),coronary artery stent device
C1322815,Drug-Eluting Stents,drugeluting stents
C0182437,Biological blood vessel prosthesis,biological blood vessel prosthesis
C0010055,Coronary Artery Bypass Surgery,coronary artery bypass surgery
C0036186,Saphenous Vein,saphenous vein
C0729538,Saphenous vein graft,saphenous vein graft
C0226276,Structure of internal thoracic artery,structure of internal thoracic artery
C0333186,Restenosis,restenosis
C4235308,response to endothelin,response to endothelin
C5197848,Vagal Anti-inflammatory Pathway,vagal antiinflammatory pathway
C0018809,Heart Neoplasm,heart neoplasm
C1855073,"Mortality, Premature",mortality premature
C0749225,Systolic dysfunction,systolic dysfunction
C0520863,Diastolic dysfunction,diastolic dysfunction
C0003492,Aortic coarctation,aortic coarctation
C0813207,Creation of shunt,creation of shunt
C0427184,No incoordination,no incoordination
C4524729,Radiation Output Failure,radiation output failure
C0332162,Onset of (contextual qualifier),onset of contextual qualifier
C2983555,Type of Valve Dysfunction,type of valve dysfunction
C0042509,Ventricular End-Diastolic Volume,ventricular enddiastolic volume
C0036225,Sarcomeres,sarcomeres
C0333963,Concentric hypertrophy,concentric hypertrophy
C0546817,Fluid overload,fluid overload
C0205549,Series,series
C5570330,Weight:Mass:Pt:Heart:Qn,weightmassptheartqn
C0333961,Secondary hypertrophy,secondary hypertrophy
C0007194,Hypertrophic Cardiomyopathy,hypertrophic cardiomyopathy
C0752248,Gene Expression Profiling,gene expression profiling
C0001701,"Exercise, Aerobic",exercise aerobic
C0022206,"Exercise, Isometric",exercise isometric
C0443246,Left sided,left sided
C0225897,Left ventricular structure,left ventricular structure
C0238705,Left atrial hypertrophy,left atrial hypertrophy
C0085619,Orthopnea,orthopnea
C0038846,Supine Position,supine position
C1272568,Oral secretion,oral secretion
C0079280,Endothelial Growth Factors,endothelial growth factors
C0026118,Milieu Therapy,milieu therapy
C4524906,Polyclonality,polyclonality
C0746619,monoclonal,monoclonal
C1517938,Long Interspersed Elements,long interspersed elements
C0085590,catheter device,catheter device
C0032624,Polyvinyl Chloride,polyvinyl chloride
C0596321,Chemical Carcinogenesis,chemical carcinogenesis
C0030016,Oxidoreductase,oxidoreductase
C0225883,Right ventricular structure,right ventricular structure
C0038925,Surgical Flaps,surgical flaps
C3662487,Catastrophic antiphospholipid syndrome,catastrophic antiphospholipid syndrome
C0032178,Platelet Antagonists,platelet antagonists
C0144576,paclitaxel,paclitaxel
C0447054,Structure of left internal thoracic artery,structure of left internal thoracic artery
C0741949,Cardiovascular Pathology,cardiovascular pathology
C0334221,Re-Epithelialization,reepithelialization
C3897493,Stent Thrombosis,stent thrombosis
C1532338,Percutaneous Coronary Intervention,percutaneous coronary intervention
C0683326,disease classification,disease classification
C0243088,sequelae aspects,sequelae aspects
C5420380,Seroprotection,seroprotection
C1708480,In Utero,in utero
C0456984,Test Result,test result
C0206177,Physiologic intraventricular pressure,physiologic intraventricular pressure
C0332181,Annual,annual
C1288298,Insidious,insidious
C0428883,Diastolic blood pressure,diastolic blood pressure
C0542331,Shunt Device,shunt device
C0030055,Oxygen Consumption,oxygen consumption
C3537076,Cytoskeletal Process,cytoskeletal process
C0042512,Ventricular Outflow Obstruction,ventricular outflow obstruction
C0205091,Left,left
C0332524,Normal thickness,normal thickness
C0026266,Mitral Valve Insufficiency,mitral valve insufficiency
C0750540,Nonspecific,nonspecific
C3150192,Myocyte hypertrophy,myocyte hypertrophy
C3840869,Boggy,boggy
C0277814,Sitting position,sitting position
C0231472,Standing position,standing position
C0232237,S3 - Third heart sound,s3 third heart sound
C0554309,Prerenal azotemia,prerenal azotemia
C1140716,Hypoxic Brain Damage,hypoxic brain damage
C0242889,Adrenergic Antagonists,adrenergic antagonists
C0003015,Angiotensin-Converting Enzyme Inhibitors,angiotensinconverting enzyme inhibitors
C1167956,Cardiac Resynchronization Therapy,cardiac resynchronization therapy
C2939447,Right ventricular failure,right ventricular failure
C0152171,Idiopathic pulmonary hypertension,idiopathic pulmonary hypertension
C0520679,"Sleep Apnea, Obstructive",sleep apnea obstructive
C0600519,Ventricular Remodeling,ventricular remodeling
C0018821,Cardiac Surgery procedures,cardiac surgery procedures
C1820163,heart morphogenesis,heart morphogenesis
C0264886,Conduction disorder of the heart,conduction disorder of the heart
C0028326,Noonan Syndrome,noonan syndrome
C0596519,environmental stressor,environmental stressor
C0428871,Right to left cardiovascular shunt (finding),right to left cardiovascular shunt finding
C0232180,Cardiac shunt,cardiac shunt
C1260866,blood oxygenator,blood oxygenator
C0428870,Left to right cardiovascular shunt (finding),left to right cardiovascular shunt finding
C0039685,Tetralogy of Fallot,tetralogy of fallot
C2675023,Congenital cardiac malformations,congenital cardiac malformations
C2985290,Fetal Alcohol Spectrum Disorders,fetal alcohol spectrum disorders
C0013743,Eisenmenger Complex,eisenmenger complex
C0242687,Early Intervention (Education),early intervention education
C0016521,Cardiac foramen ovale,cardiac foramen ovale
C0016522,"Foramen Ovale, Patent",foramen ovale patent
C0036492,Seals (Animal),seals animal
C0042293,Valsalva Maneuver,valsalva maneuver
C0037383,Sneezing,sneezing
C3858706,unrestricted,unrestricted
C0225840,Structure of ostium secundum,structure of ostium secundum
C0058836,Dynamin GTPase,dynamin gtpase
C0031192,Persistent Ostium Primum,persistent ostium primum
C0231084,Structure of sinus venosus of fetus,structure of sinus venosus of fetus
C0225870,Ventricular septum,ventricular septum
C1947976,Correction (change),correction change
C0013273,Structure of ductus arteriosus,structure of ductus arteriosus
C0456261,Pulmonary Vascular Resistance,pulmonary vascular resistance
C0185003,Reparative closure,reparative closure
C0033559,Prostaglandins E,prostaglandins e
C0242855,Congenital atresia of pulmonary valve,congenital atresia of pulmonary valve
C0280598,doxorubicin/vincristine protocol,doxorubicinvincristine protocol
C0455825,Left ventricular mass,left ventricular mass
C0012725,Psychologic Displacement,psychologic displacement
C0504035,Wall of right ventricle,wall of right ventricle
C0003501,Aortic valve structure,aortic valve structure
C0034089,Pulmonary Valve Stenosis,pulmonary valve stenosis
C0225844,Right atrial structure,right atrial structure
C0225860,Left atrial structure,left atrial structure
C0030352,Structure of papillary muscle,structure of papillary muscle
C0232257,Systolic Murmurs,systolic murmurs
C0425589,Heart irregularly irregular,heart irregularly irregular
C0018827,Heart Ventricle,heart ventricle
C0225832,Structure of auricular appendage,structure of auricular appendage
C0719517,Correct brand of docusate-phenolphthalein,correct brand of docusatephenolphthalein
C0179406,Remote-afterloading brachytherapy system,remoteafterloading brachytherapy system
C4227331,Cardiomyocyte hypertrophy,cardiomyocyte hypertrophy
C0154307,Idiopathic Noncirrhotic Portal Hypertension,idiopathic noncirrhotic portal hypertension
C0037090,"Signs and Symptoms, Respiratory",signs and symptoms respiratory
C0042484,Venous Engorgement,venous engorgement
C1565489,Renal Insufficiency,renal insufficiency
"j am coll cardiol 39:1890,2002","j am coll cardiol 39:1890,2002",j am coll cardiol 3918902002
C0852689,Congenital rubella infection,congenital rubella infection
C0663285,"NR1I3 protein, human",nr1i3 protein human
C0265808,Cyanotic congenital heart disease,cyanotic congenital heart disease
C0179874,Chamber (physical object),chamber physical object
C1517378,Gain,gain
C0225836,Interatrial septum,interatrial septum
C0344893,Right cardiac ventricular dilatation,right cardiac ventricular dilatation
C0018792,Heart Atrium,heart atrium
C0231080,Structure of atrioventricular canal cushion,structure of atrioventricular canal cushion
C0014116,Endocardial Cushion Defects,endocardial cushion defects
C5539669,Irreversible airflow obstruction,irreversible airflow obstruction
C0225811,Structure of apex of heart,structure of apex of heart
